OriginLat,OriginLon,DestinationLat,DestinationLon
40.651163100000005,-75.44225386838299,35.21074145,-80.9457435226013
32.407743749999995,-99.67936992920886,32.89651945,-97.0465220537124
31.5339678,-84.19254493414799,33.63779875,-84.42927118585675
41.255823899999996,-70.05803775405849,40.642947899999996,-73.7793733748521
57.7535941,-152.5136697,61.18103525,-149.99789189730433
35.2208033,-101.70973292853489,32.84524055,-96.84732187569065
61.18103525,-149.99789189730433,58.6753166,-156.6493870251819
61.18103525,-149.99789189730433,71.28620995,-156.77500248341514
45.07879025,-83.5599967583827,42.205699100000004,-83.35297537621658
39.2208967,-106.86697301509874,33.94216754999999,-118.42139298414197
33.63779875,-84.42927118585675,31.329273649999998,-92.54095486627727
33.63779875,-84.42927118585675,42.748015949999996,-73.79855563763934
33.63779875,-84.42927118585675,39.2208967,-106.86697301509874
33.63779875,-84.42927118585675,45.78359005,-111.15697962783483
33.63779875,-84.42927118585675,40.9152061,-81.43992419328089
33.63779875,-84.42927118585675,35.032383550000006,-85.20167788785842
33.63779875,-84.42927118585675,41.534549299999995,-93.65923944589736
33.63779875,-84.42927118585675,44.47848805,-88.14362007159838
33.63779875,-84.42927118585675,34.8954456,-82.21722845651891
33.63779875,-84.42927118585675,33.4956744,-88.4272627
33.63779875,-84.42927118585675,40.4844693,-107.220936
33.63779875,-84.42927118585675,29.9841416,-95.33298595614491
33.63779875,-84.42927118585675,34.27353635,-77.90953507173883
33.63779875,-84.42927118585675,40.7757145,-73.87336398511545
33.63779875,-84.42927118585675,35.04625645,-89.97689466513185
33.63779875,-84.42927118585675,41.97795725,-87.90920910980722
33.63779875,-84.42927118585675,40.49178275,-80.23702448873742
33.63779875,-84.42927118585675,41.8239891,-71.4128343
33.63779875,-84.42927118585675,27.395988350000003,-82.55407423064528
33.63779875,-84.42927118585675,36.19914,-95.8867383912098
33.63779875,-84.42927118585675,44.7606441,-85.6165301
30.19348925,-97.66500963529677,36.11958985,-86.68308703291842
30.19348925,-97.66500963529677,41.406618550000005,-81.85120214358412
30.19348925,-97.66500963529677,31.8092748,-106.36664263248113
30.19348925,-97.66500963529677,38.8950368,-77.0365427
30.19348925,-97.66500963529677,37.7120907,-122.21450262406256
30.19348925,-97.66500963529677,41.97795725,-87.90920910980722
35.4364233,-82.54088095049624,33.63779875,-84.42927118585675
41.764582,-72.6908547,33.63779875,-84.42927118585675
41.764582,-72.6908547,36.0861034,-115.16111989849915
41.764582,-72.6908547,44.878019050000006,-93.2209280537696
41.764582,-72.6908547,41.97795725,-87.90920910980722
41.764582,-72.6908547,35.880361449999995,-78.78723821716514
33.563500000000005,-86.75151249023227,42.205699100000004,-83.35297537621658
33.563500000000005,-86.75151249023227,36.0861034,-115.16111989849915
33.563500000000005,-86.75151249023227,40.7757145,-73.87336398511545
33.563500000000005,-86.75151249023227,25.7949789,-80.28672341095405
33.563500000000005,-86.75151249023227,44.878019050000006,-93.2209280537696
46.7964145,-100.8196359,39.8606676,-104.68536732610298
40.4733557,-88.91480264613926,42.205699100000004,-83.35297537621658
40.4733557,-88.91480264613926,28.412903550000003,-81.30944309752753
36.11958985,-86.68308703291842,39.19764875,-76.68258351960611
36.11958985,-86.68308703291842,35.21074145,-80.9457435226013
36.11958985,-86.68308703291842,26.072017000000002,-80.15099673135214
36.11958985,-86.68308703291842,35.04625645,-89.97689466513185
36.11958985,-86.68308703291842,25.7949789,-80.28672341095405
36.11958985,-86.68308703291842,32.7174202,-117.1627728
36.11958985,-86.68308703291842,29.5334021,-98.46921443046924
42.3554334,-71.060511,39.19764875,-76.68258351960611
42.3554334,-71.060511,39.1014537,-84.5124602
42.3554334,-71.060511,39.8606676,-104.68536732610298
42.3554334,-71.060511,39.7162533,-86.29508388539975
42.3554334,-71.060511,40.642947899999996,-73.7793733748521
42.3554334,-71.060511,36.0861034,-115.16111989849915
42.3554334,-71.060511,35.04625645,-89.97689466513185
42.3554334,-71.060511,44.878019050000006,-93.2209280537696
29.938360000000003,-93.98706961182776,32.89651945,-97.0465220537124
18.49346055,-67.13421586611547,28.412903550000003,-81.30944309752753
30.5319743,-91.15042415051039,38.8950368,-77.0365427
30.5319743,-91.15042415051039,35.04625645,-89.97689466513185
44.472896500000004,-73.15146310750751,41.97795725,-87.90920910980722
42.9402016,-78.73075229745353,39.19764875,-76.68258351960611
42.9402016,-78.73075229745353,26.53294975,-81.75880562612211
39.19764875,-76.68258351960611,33.63779875,-84.42927118585675
39.19764875,-76.68258351960611,39.1014537,-84.5124602
39.19764875,-76.68258351960611,39.8606676,-104.68536732610298
39.19764875,-76.68258351960611,42.9632405,-85.6678639
39.19764875,-76.68258351960611,40.78964545,-73.09731499551691
39.19764875,-76.68258351960611,41.7854316,-87.75084869357148
39.19764875,-76.68258351960611,47.4475673,-122.3080158569515
45.78359005,-111.15697962783483,33.94216754999999,-118.42139298414197
33.93886305,-81.1139715103596,33.63779875,-84.42927118585675
40.9152061,-81.43992419328089,33.63779875,-84.42927118585675
40.9152061,-81.43992419328089,40.7757145,-73.87336398511545
41.8528065,-124.14986198309553,38.687223450000005,-121.5903702806319
35.032383550000006,-85.20167788785842,42.205699100000004,-83.35297537621658
32.89929845,-80.03946503050427,33.63779875,-84.42927118585675
32.89929845,-80.03946503050427,41.406618550000005,-81.85120214358412
41.406618550000005,-81.85120214358412,39.1014537,-84.5124602
41.406618550000005,-81.85120214358412,39.8606676,-104.68536732610298
41.406618550000005,-81.85120214358412,34.8954456,-82.21722845651891
41.406618550000005,-81.85120214358412,29.9841416,-95.33298595614491
41.406618550000005,-81.85120214358412,39.7162533,-86.29508388539975
41.406618550000005,-81.85120214358412,39.3023103,-94.72118991743454
41.406618550000005,-81.85120214358412,26.715364,-80.0532942
41.406618550000005,-81.85120214358412,39.875018,-75.23521278969667
41.406618550000005,-81.85120214358412,47.4475673,-122.3080158569515
41.406618550000005,-81.85120214358412,18.465299,-66.116666
41.406618550000005,-81.85120214358412,43.1141752,-76.11914451143608
30.63009225,-96.33683659611643,29.9841416,-95.33298595614491
35.21074145,-80.9457435226013,32.89929845,-80.03946503050427
